latitude,longitude,depth,mag 
43.652,-79.3633,-0.6417868774887325,8
43.623,-79.3936,2.754898752195018,118
43.6532,-79.3832,2.291714348147234,103
43.652,-79.3633,-0.5491499966791757,11
43.6532,-79.3832,-0.24036039398065293,21
43.6656,-79.383,0.28458193060683584,38
43.6532,-79.3832,-0.24036039398065293,21
43.6383,-79.4301,-0.08596559263139153,26
43.6532,-79.3832,-0.24036039398065293,21
43.6655,-79.4204,0.963919056543586,60
45.4215,-75.6972,2.940172513814132,124
43.6532,-79.3832,2.291714348147234,103
43.6555,-79.3626,-0.6109079172188803,9
43.652,-79.3633,-0.580028956949028,10
43.6532,-79.3832,2.291714348147234,103
43.652,-79.3633,-0.5491499966791757,11
43.652,-79.3633,-0.6109079172188803,9
43.6325,-79.4939,-0.580028956949028,10
43.6532,-79.3832,-0.4256341555997666,15
43.6532,-79.3832,-0.20948143371080064,22
43.6532,-79.3832,2.291714348147234,103
43.6449,-79.3843,-0.5182710364093235,12
43.6629,-79.3987,-0.580028956949028,10
43.6532,-79.3832,2.260835387877382,102
43.6509,-79.362,-0.580028956949028,10
43.6033,-79.538,-0.36387623506006206,17
43.652,-79.3633,-0.6109079172188803,9
43.6532,-79.3832,2.816656672734723,120
43.652,-79.3633,-0.6109079172188803,9
43.6532,-79.3832,-0.20948143371080064,22
43.8092,-79.3427,-0.580028956949028,10
43.652,-79.3633,-0.6109079172188803,9
43.6532,-79.3832,-0.4565131158696189,14
43.6966,-79.412,0.191945049797279,35
43.6448,-79.384,-0.17860247344094837,23
43.6532,-79.3832,2.291714348147234,103
43.6532,-79.3832,2.291714348147234,103
43.6532,-79.3832,2.260835387877382,102
43.6496,-79.3833,-0.33299727479020974,18
43.821,-79.3436,-0.580028956949028,10
43.652,-79.3633,-0.6109079172188803,9
43.6532,-79.3832,2.260835387877382,102
43.652,-79.3633,-0.17860247344094837,23
43.6404,-79.3995,-0.580028956949028,10
43.6555,-79.3626,-0.36387623506006206,17
43.6655,-79.4204,1.3035876195119611,71
43.652,-79.3633,-0.580028956949028,10
43.6404,-79.3995,0.9330400962737337,59
43.652,-79.3633,-0.580028956949028,10
43.623,-79.3936,0.34633985114654037,40
43.821,-79.3436,0.7168873743847678,52
43.6803,-79.3538,0.5933715333053586,48
43.623,-79.3936,2.971051474083984,125
43.6532,-79.3832,-0.20948143371080064,22
43.6532,-79.3832,-0.20948143371080064,22
43.8025,-79.344,-0.580028956949028,10
43.6532,-79.3832,-0.580028956949028,10
43.652,-79.3633,-0.6109079172188803,9
43.652,-79.3633,-0.580028956949028,10
43.652,-79.3633,-0.580028956949028,10
43.6447,-79.3841,-0.4565131158696189,14
43.6532,-79.3832,2.3534722686869385,105
43.6655,-79.4204,0.9947980168134384,61
43.6532,-79.3832,-0.1168445529012438,25
43.6509,-79.362,-0.580028956949028,10
43.6532,-79.3832,2.291714348147234,103
43.6532,-79.3832,2.3225933084170864,104
43.6655,-79.4204,-0.4256341555997666,15
43.6509,-79.362,-0.48739207613947116,13
43.6655,-79.4204,-0.20948143371080064,22
43.7568,-79.521,-0.33299727479020974,18
43.652,-79.3633,-0.48739207613947116,13
43.3688,-79.7556,-0.5182710364093235,12
43.6446,-79.3842,-0.4256341555997666,15
45.5017,-73.5673,-0.4256341555997666,15
43.6449,-79.3843,-0.48739207613947116,13
50.1109,8.68213,2.3534722686869385,105
43.6509,-79.362,-0.580028956949028,10
43.6915,-79.4307,-0.48739207613947116,13
43.6447,-79.3841,-0.17860247344094837,23
43.6655,-79.4204,-0.3947551953299143,16
43.6655,-79.4204,-0.33299727479020974,18
43.6447,-79.3841,-0.4256341555997666,15
43.652,-79.3633,-0.48739207613947116,13
40.8054,-74.0241,-0.055086632361539246,27
43.6509,-79.362,-0.48739207613947116,13
52.3563,4.95714,2.0755616262582683,96
40.8302,-74.1299,-0.08596559263139153,26
41.8781,-87.6298,1.3962245003215181,74
43.6655,-79.4204,0.191945049797279,35
43.623,-79.3936,2.8784145932744276,122
45.5017,-73.5673,-0.4256341555997666,15
43.782,-79.4713,-0.580028956949028,10
43.8064,-79.5995,-0.3947551953299143,16
43.6447,-79.3841,-0.48739207613947116,13
25.7617,-80.1918,0.6551294538450632,50
43.623,-79.3936,2.8784145932744276,122
43.652,-79.3633,-0.48739207613947116,13
43.6449,-79.3843,-0.5182710364093235,12
43.6655,-79.4204,-0.4256341555997666,15
43.7135,-79.3887,-0.580028956949028,10
52.3563,4.95714,2.013803705718564,94
43.821,-79.3436,-0.580028956949028,10
47.5136,-67.3923,-0.580028956949028,10
43.6448,-79.384,-0.2712393542505052,20
50.1109,8.68213,2.291714348147234,103
43.6509,-79.362,-0.580028956949028,10
43.7334,-79.3329,0.28458193060683584,38
43.6446,-79.3842,-0.4565131158696189,14
43.652,-79.3633,-0.580028956949028,10
43.6447,-79.3841,-0.5182710364093235,12
49.2827,-123.121,1.3344665797818134,72
43.623,-79.3936,2.9092935535442797,123
49.2827,-123.121,1.3962245003215181,74
43.6655,-79.4204,-0.2712393542505052,20
43.652,-79.3633,-0.6109079172188803,9
40.8302,-74.1299,-0.17860247344094837,23
43.623,-79.3936,2.754898752195018,118
44.7333,-81.1333,-0.08596559263139153,26
43.6404,-79.3995,-0.6109079172188803,9
43.6509,-79.362,-0.580028956949028,10
43.652,-79.3633,-0.6109079172188803,9
12.8498,77.6545,6.985316309164781,255
52.3563,4.95714,2.013803705718564,94
43.6447,-79.3841,-0.48739207613947116,13
43.623,-79.3936,2.9092935535442797,123
43.6532,-79.3832,-0.5182710364093235,12
52.3563,4.95714,1.9829247454487113,93
43.6447,-79.3841,-0.48739207613947116,13
43.6655,-79.4204,-0.2712393542505052,20
43.8092,-79.3427,-0.6109079172188803,9
43.745,-79.359,0.28458193060683584,38
43.6509,-79.362,-0.6109079172188803,9
43.652,-79.3633,-0.6109079172188803,9
43.6033,-79.538,-0.5182710364093235,12
44.7333,-81.1333,0.8095242551943246,55
43.8208,-79.2393,-0.024207672091686967,28
43.7694,-79.4921,0.4389767319560972,43
43.7673,-79.4111,0.7168873743847678,52
43.652,-79.3633,-0.6109079172188803,9
43.652,-79.3633,-0.6109079172188803,9
34.1052,-118.147,1.735893063289893,85
43.6509,-79.362,-0.580028956949028,10
34.1052,-118.147,-0.20948143371080064,22
45.5014,-73.5627,-0.024207672091686967,28
43.652,-79.3633,-0.6109079172188803,9
43.652,-79.3633,-0.4565131158696189,14
43.6447,-79.3841,-0.5182710364093235,12
43.6414,-79.3772,-0.6109079172188803,9
